"role_id","role_title","sector","proposed_soc_code","matched_ashe_description","confidence","reason"
"8b40301a-6a7d-40c4-8d6c-0a80767f73dc","Agricultural Data Analyst","Agriculture & Environment","3544","Data analysts","medium","Semantic match: data analysis applied to agriculture; shares SOC with other analyst roles across sectors"
"3b8f49bf-8cc8-49e9-9ec9-0d2bb97a6dd5","Agricultural Technician","Agriculture & Environment","3119","Science, engineering and production technicians n.e.c.","medium","Semantic match: precision agriculture equipment and sensors is a technician role not elsewhere classified"
"6c2842c1-bc82-4a8d-b16b-1f3b8f0abc9d","Carbon Footprint / Sustainability Officer","Agriculture & Environment","2152","Environment professionals","medium","Semantic match: sustainability metrics and environmental scheme work maps to environment professionals"
"bba8a4f1-49a8-4955-889d-87ab1a53df68","Drone Operator / Pilot","Agriculture & Environment","3417","Photographers, audio-visual and broadcasting equipment operators","low","Closest SOC: no specific drone operator code in SOC 2020; equipment operators is nearest available"
"4a4b4ef7-175b-4e21-96ef-41ea7a8d00f9","Ecologist","Agriculture & Environment","2112","Biological scientists","medium","Semantic match: ecology is a branch of biological science; fieldwork and species identification core"
"012bf8eb-9ad3-447f-a2ed-fa80410a8144","Environmental Consultant","Agriculture & Environment","2152","Environment professionals","high","Near-exact match: environmental consulting is a core environment professional role"
"9dc2aa41-a166-48b4-a320-5017ce56e0a9","Environmental Data Scientist","Agriculture & Environment","2119","Natural and social science professionals n.e.c.","medium","Semantic match: applies data science to environmental domain; n.e.c. covers interdisciplinary science roles"
"74439d0b-f149-416f-a468-7b5f0ae75e93","Farm Worker","Agriculture & Environment","9111","Farm workers","high","Exact title match"
"8b633fed-abf8-4e1e-b626-9a899b70fa53","Forestry Worker","Agriculture & Environment","9112","Forestry and related workers","high","Near-exact title match"
"c603fa51-acf7-48ff-b238-0f8a3b773047","Landscape Manager","Agriculture & Environment","1211","Managers and proprietors in agriculture and horticulture","medium","Semantic match: landscape management falls under horticulture management and proprietorship"
"312251af-9352-4387-8735-f3ee4e4056d2","Peatland Restoration Specialist","Agriculture & Environment","2151","Conservation professionals","medium","Semantic match: peatland restoration is conservation work; maps to conservation professionals"
"85e18b40-d479-4c72-bc8f-9563f51c8525","Precision Agriculture Technologist","Agriculture & Environment","3119","Science, engineering and production technicians n.e.c.","medium","Semantic match: GPS/drone/sensor tech in agriculture; shares SOC with Agricultural Technician"
"971cf3d5-897a-4f0f-b3f0-a57f727dc9a2","Accountant (Qualified)","Business & Finance","2421","Chartered and certified accountants","high","Near-exact match: qualified accountant maps directly to chartered/certified accountants"
"a3d291d3-b81a-4a4a-a85e-bbc82d58b307","Actuary","Business & Finance","2433","Actuaries, economists and statisticians","high","Near-exact match: SOC description explicitly includes actuaries"
"bdbf0553-f38e-442e-99d6-976fd45eae4a","AI-Savvy Financial Analyst","Business & Finance","2422","Finance and investment analysts and advisers","medium","Semantic match: fundamentally a financial analyst role enhanced with AI tools; shares SOC with Financial Adviser"
"22bcd24e-2e89-4ee1-b399-0d7e32b58c0a","Bank Clerk / Cashier","Business & Finance","4123","Bank and post office clerks","high","Near-exact match: bank clerk directly matches SOC description"
"fe89b76d-485e-48cc-b39c-eedf04d5b53b","Bookkeeper / Payroll Clerk","Business & Finance","4122","Book-keepers, payroll managers and wages clerks","high","Near-exact match: both bookkeeper and payroll explicitly in SOC description"
"e4da1ee0-150e-4d6f-a240-47f6d5df4642","Data Governance Manager (Finance)","Business & Finance","2132","IT managers","medium","Semantic match: data governance oversight is an IT management function within finance"
"123cefb1-e7bb-4976-bd9a-a067bbf687ed","Financial Adviser","Business & Finance","2422","Finance and investment analysts and advisers","high","Near-exact match: SOC description explicitly includes advisers; shares SOC with AI-Savvy Financial Analyst"
"dea139d4-1971-46de-ad8f-ed9953f09dd0","Financial AI Compliance Specialist","Business & Finance","2482","Quality assurance and regulatory professionals","medium","Semantic match: AI compliance in finance is a regulatory/assurance function"
"07dae8b6-135f-49b9-ac6b-555a0f6105ca","FinTech Product Manager","Business & Finance","2131","IT project managers","medium","Semantic match: product management closest to IT project management in SOC 2020; shares SOC with other PM roles"
"2143d3e6-d9b6-4fc3-856f-053cabeb98c0","Forensic AI Auditor","Business & Finance","2421","Chartered and certified accountants","medium","Semantic match: auditing AI systems combines accounting and data science; shares SOC with Accountant"
"ed847716-3319-4e2c-9e65-21730dba64e6","Insurance Underwriter","Business & Finance","3532","Insurance underwriters","high","Exact title match"
"f10b9ef7-25fa-43c1-8856-a1e561414f3c","AI / ML Engineer","Computing & Digital Technology","2134","Programmers and software development professionals","high","Near-exact match: ML engineering is software development; designing and deploying AI models"
"fdb3f491-eea7-40a7-940b-51f3d31dc630","AI Ethics Officer","Computing & Digital Technology","2139","Information technology professionals n.e.c.","low","Closest SOC: novel role advising on responsible AI use; no specific SOC code exists"
"40596b52-34b2-46d3-b7b1-2392ddd0d332","AI Operations Engineer","Computing & Digital Technology","2134","Programmers and software development professionals","medium","Semantic match: MLOps/AI ops is a software engineering discipline; shares SOC with other dev roles"
"73d91733-bd76-481a-b5aa-896d67a5f8da","AI Product Manager","Computing & Digital Technology","2131","IT project managers","medium","Semantic match: product management closest to IT project management in SOC 2020; shares SOC with other PM roles"
"8c8f11e0-4c79-43fb-9db6-2fa9a1233104","AI Safety Researcher","Computing & Digital Technology","2162","Other researchers, unspecified discipline","medium","Semantic match: research role focused on AI safety and alignment; shares SOC with other research roles"
"abf51422-7453-4f62-822e-6c07c0ef5bdf","AI Solutions Engineer","Computing & Digital Technology","2134","Programmers and software development professionals","medium","Semantic match: client-facing engineering implementing AI tools is software development; shares SOC with other dev roles"
"b2fc4471-54c4-4a83-9414-2f8274c67e5d","Cybersecurity Analyst","Computing & Digital Technology","2135","Cyber security professionals","high","Near-exact match: cybersecurity analyst is a core cyber security professional role"
"6340712e-e374-401a-85a1-7dec813f1e8f","Data Analyst","Computing & Digital Technology","3544","Data analysts","high","Exact title match"
"afce4eca-6cda-4c57-afb8-756800e9228a","Data Engineer","Computing & Digital Technology","2134","Programmers and software development professionals","medium","Semantic match: building data pipelines is software engineering; shares SOC with other dev roles"
"4a0b553e-c411-421e-a521-14af7e1f3e8b","IT Support Technician","Computing & Digital Technology","3132","IT user support technicians","high","Near-exact match: IT support maps directly to IT user support technicians"
"0aac8ad5-cee1-403b-a097-9d10dad2cbcc","Junior Software Developer","Computing & Digital Technology","2134","Programmers and software development professionals","high","Near-exact match: software developer directly within SOC description; shares SOC with Senior Developer"
"a65b30dd-a8cc-434e-a805-e37962e488c0","Prompt Engineer","Computing & Digital Technology","2139","Information technology professionals n.e.c.","low","Closest SOC: novel role (post-2022) with no specific SOC code; IT professionals n.e.c. is nearest"
"70533e10-9f52-4195-b480-99123273c071","Senior Software Developer","Computing & Digital Technology","2134","Programmers and software development professionals","high","Near-exact match: software developer directly within SOC description; shares SOC with Junior Developer"
"8453ce56-63a5-4f29-ab99-9e41a0d5d4cb","BIM / Digital Twin Manager","Construction & Trades","2455","Construction project managers and related professionals","medium","Semantic match: BIM management is a construction project management specialism"
"d9022355-d8da-47c5-b252-fe0f924f72e3","Bricklayer","Construction & Trades","5313","Bricklayers","high","Exact title match"
"e397ed77-f236-4b07-be0e-54261fa46b52","Construction Technology Specialist","Construction & Trades","3114","Building and civil engineering technicians","medium","Semantic match: implementing BIM/drones/AI on construction projects is a building technician role"
"9e015239-5492-44c7-98f4-94c809bcabee","Drone Survey Operator","Construction & Trades","3114","Building and civil engineering technicians","low","Closest SOC: drone site surveying is a novel specialism within construction technician work"
"d89a6072-656f-4957-b59c-b872b917e657","Electrician","Construction & Trades","5241","Electricians and electrical fitters","high","Near-exact match: SOC description explicitly includes electricians"
"1cc2e57f-8ad0-4be5-81e6-7da084ac1a9b","Joiner / Carpenter","Construction & Trades","5316","Carpenters and joiners","high","Near-exact match: both terms in SOC description (reversed word order)"
"ee5efbee-25af-4e68-b1f7-39a19d9b901a","Plumber","Construction & Trades","5315","Plumbers & heating and ventilating installers and repairers","high","Near-exact match: SOC description explicitly includes plumbers"
